"species","genus","family","species.relative","genus.relative","family.in.genus.list","output.note"
"Carex elongata","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex extensa","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex firma","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carex flacca","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex flava","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex foetida","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carex hirta","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex hostiana","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex lachenalii","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex laevigata","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carex leersii","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carex lepidocarpa","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carex leporina","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carex limosa","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex magellanica","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex maritima","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex microglochin","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex muricata","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex myosuroides","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex nigra","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex oederi","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carex ornithopoda","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carex pallescens","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex panicea","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex paniculata","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex pendula","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex pilulifera","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carex pseudocyperus","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex pulicaris","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex punctata","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex rariflora","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex remota","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex rostrata","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex saxatilis","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex sempervirens","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex simpliciuscula","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex spicata","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex strigosa","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex sylvatica","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex vesicaria","Carex","Cyperaceae",NA,NA,NA,"present in megatree"
"Carex vulpina","Carex","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Carlina acaulis","Carlina","Asteraceae",NA,NA,NA,"present in megatree"
"Carlina corymbosa","Carlina","Asteraceae",NA,NA,NA,"insertion based on genus"
"Carlina vulgaris","Carlina","Asteraceae",NA,NA,NA,"present in megatree"
"Caroxylon dendroides","Caroxylon","Chenopodiaceae",NA,NA,"Amaranthaceae","insertion based on genus"
"Carpesium cernuum","Carpesium","Asteraceae",NA,NA,NA,"present in megatree"
"Carpinus betulus","Carpinus","Corylaceae",NA,NA,"Betulaceae","present in megatree"
"Carpinus orientalis","Carpinus","Corylaceae",NA,NA,"Betulaceae","present in megatree"
"Carthamus lanatus","Carthamus","Asteraceae",NA,NA,NA,"present in megatree"
"Carum carvi","Carum","Apiaceae",NA,NA,NA,"present in megatree"
"Castanea sativa","Castanea","Fagaceae",NA,NA,NA,"present in megatree"
"Catananche caerulea","Catananche","Asteraceae",NA,NA,NA,"present in megatree"
"Catapodium marinum","Catapodium","Poaceae",NA,NA,NA,"insertion based on family"
"Catapodium rigidum","Catapodium","Poaceae",NA,NA,NA,"insertion based on family"
"Caucalis platycarpos","Caucalis","Apiaceae",NA,NA,NA,"insertion based on family"
"Centaurea calcitrapa","Centaurea","Asteraceae",NA,NA,NA,"present in megatree"
"Centaurea cyanus","Centaurea","Asteraceae",NA,NA,NA,"present in megatree"
"Centaurea jacea","Centaurea","Asteraceae",NA,NA,NA,"present in megatree"
"Centaurea nemoralis","Centaurea","Asteraceae",NA,NA,NA,"present in megatree"
"Centaurea nervosa","Centaurea","Asteraceae",NA,NA,NA,"present in megatree"
"Centaurea nigra","Centaurea","Asteraceae",NA,NA,NA,"present in megatree"
"Centaurea raphanina","Centaurea","Asteraceae",NA,NA,NA,"present in megatree"
"Centaurea scabiosa","Centaurea","Asteraceae",NA,NA,NA,"present in megatree"
"Centaurea solstitialis","Centaurea","Asteraceae",NA,NA,NA,"present in megatree"
"Centaurea sphaerocephala","Centaurea","Asteraceae",NA,NA,NA,"insertion based on genus"
"Centaurea spinosa","Centaurea","Asteraceae",NA,NA,NA,"present in megatree"
"Centaurea stoebe","Centaurea","Asteraceae",NA,NA,NA,"insertion based on genus"
"Centaurium erythraea","Centaurium","Gentianaceae",NA,NA,NA,"present in megatree"
"Centaurium pulchellum","Centaurium","Gentianaceae",NA,NA,NA,"present in megatree"
"Centaurium tenuiflorum","Centaurium","Gentianaceae",NA,NA,NA,"present in megatree"
"Cephalanthera damasonium","Cephalanthera","Orchidaceae",NA,NA,NA,"present in megatree"
"Cephalanthera longifolia","Cephalanthera","Orchidaceae",NA,NA,NA,"present in megatree"
"Cephalaria transsylvanica","Cephalaria","Dipsacaceae",NA,NA,"Caprifoliaceae","insertion based on genus"
"Cephalaria uralensis","Cephalaria","Dipsacaceae",NA,NA,"Caprifoliaceae","insertion based on genus"
"Cerastium alpinum","Cerastium","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Cerastium arvense","Cerastium","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Cerastium brachypetalum","Cerastium","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Cerastium diffusum","Cerastium","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Cerastium fontanum","Cerastium","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Cerastium glomeratum","Cerastium","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Cerastium pumilum","Cerastium","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Cerastium scaposum","Cerastium","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Cerastium semidecandrum","Cerastium","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Cerastium uniflorum","Cerastium","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Ceratocarpus arenarius","Ceratocarpus","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Cerinthe glabra","Cerinthe","Boraginaceae",NA,NA,NA,"insertion based on genus"
"Chaenorhinum minus","Chaenorhinum","Plantaginaceae",NA,NA,NA,"present in megatree"
"Chaerophyllum aureum","Chaerophyllum","Apiaceae",NA,NA,NA,"present in megatree"
"Chaerophyllum hirsutum","Chaerophyllum","Apiaceae",NA,NA,NA,"present in megatree"
"Chaerophyllum nodosum","Chaerophyllum","Apiaceae",NA,NA,NA,"present in megatree"
"Chamaecytisus austriacus","Chamaecytisus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Chamaecytisus hirsutus","Chamaecytisus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Chamaecytisus spinescens","Chamaecytisus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Chamaeleon gummifer","Chamaeleon","Asteraceae",NA,NA,NA,"present in megatree"
"Chamaemelum nobile","Chamaemelum","Asteraceae",NA,NA,NA,"present in megatree"
"Cheirolophus intybaceus","Cheirolophus","Asteraceae",NA,NA,NA,"insertion based on genus"
"Chelidonium majus","Chelidonium","Papaveraceae",NA,NA,NA,"present in megatree"
"Chenopodiastrum hybridum","Chenopodiastrum","Chenopodiaceae",NA,NA,"Amaranthaceae","insertion based on genus"
"Chenopodium album","Chenopodium","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Chenopodium ficifolium","Chenopodium","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Chenopodium vulvaria","Chenopodium","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Cherleria laricifolia","Cherleria","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Chrysopogon gryllus","Chrysopogon","Poaceae",NA,NA,NA,"present in megatree"
"Cichorium intybus","Cichorium","Asteraceae",NA,NA,NA,"present in megatree"
"Cichorium spinosum","Cichorium","Asteraceae",NA,NA,NA,"present in megatree"
"Cicuta virosa","Cicuta","Apiaceae",NA,NA,NA,"present in megatree"
"Cionura erecta","Cionura","Apocynaceae",NA,NA,NA,"present in megatree"
"Circaea lutetiana","Circaea","Onagraceae",NA,NA,NA,"present in megatree"
"Cirsium arvense","Cirsium","Asteraceae",NA,NA,NA,"present in megatree"
"Cirsium candelabrum","Cirsium","Asteraceae",NA,NA,NA,"insertion based on genus"
"Cirsium dissectum","Cirsium","Asteraceae",NA,NA,NA,"insertion based on genus"
"Cirsium ligulare","Cirsium","Asteraceae",NA,NA,NA,"insertion based on genus"
"Cirsium oleraceum","Cirsium","Asteraceae",NA,NA,NA,"present in megatree"
"Cirsium palustre","Cirsium","Asteraceae",NA,NA,NA,"insertion based on genus"
"Cirsium tuberosum","Cirsium","Asteraceae",NA,NA,NA,"insertion based on genus"
"Cirsium vulgare","Cirsium","Asteraceae",NA,NA,NA,"present in megatree"
"Cistus albidus","Cistus","Cistaceae",NA,NA,NA,"insertion based on genus"
"Cistus atriplicifolius","Cistus","Cistaceae",NA,NA,NA,"insertion based on genus"
"Cistus clusii","Cistus","Cistaceae",NA,NA,NA,"present in megatree"
"Cistus creticus","Cistus","Cistaceae",NA,NA,NA,"insertion based on genus"
"Cistus crispus","Cistus","Cistaceae",NA,NA,NA,"insertion based on genus"
"Cistus halimifolius","Cistus","Cistaceae",NA,NA,NA,"insertion based on genus"
"Cistus ladanifer","Cistus","Cistaceae",NA,NA,NA,"present in megatree"
"Cistus lasianthus","Cistus","Cistaceae",NA,NA,NA,"insertion based on genus"
"Cistus laurifolius","Cistus","Cistaceae",NA,NA,NA,"insertion based on genus"
"Cistus monspeliensis","Cistus","Cistaceae",NA,NA,NA,"insertion based on genus"
"Cistus parviflorus","Cistus","Cistaceae",NA,NA,NA,"present in megatree"
"Cistus populifolius","Cistus","Cistaceae",NA,NA,NA,"insertion based on genus"
"Cistus salviifolius","Cistus","Cistaceae",NA,NA,NA,"present in megatree"
"Clematis recta","Clematis","Ranunculaceae",NA,NA,NA,"present in megatree"
"Clematis vitalba","Clematis","Ranunculaceae",NA,NA,NA,"present in megatree"
"Cleonia lusitanica","Cleonia","Lamiaceae",NA,NA,NA,"present in megatree"
"Clinopodium acinos","Clinopodium","Lamiaceae",NA,NA,NA,"present in megatree"
"Clinopodium menthifolium","Clinopodium","Lamiaceae",NA,NA,NA,"present in megatree"
"Clinopodium nepeta","Clinopodium","Lamiaceae",NA,NA,NA,"present in megatree"
"Clinopodium vulgare","Clinopodium","Lamiaceae",NA,NA,NA,"present in megatree"
"Cochlearia anglica","Cochlearia","Brassicaceae",NA,NA,NA,"present in megatree"
"Cochlearia danica","Cochlearia","Brassicaceae",NA,NA,NA,"present in megatree"
"Cochlearia officinalis","Cochlearia","Brassicaceae",NA,NA,NA,"present in megatree"
"Cochlearia pyrenaica","Cochlearia","Brassicaceae",NA,NA,NA,"present in megatree"
"Coincya monensis","Coincya","Brassicaceae",NA,NA,NA,"present in megatree"
"Coincya tournefortii","Coincya","Brassicaceae",NA,NA,NA,"present in megatree"
"Coleostephus myconis","Coleostephus","Asteraceae",NA,NA,NA,"insertion based on family"
"Colutea arborescens","Colutea","Fabaceae",NA,NA,NA,"present in megatree"
"Comarum palustre","Comarum","Rosaceae",NA,NA,NA,"present in megatree"
"Comastoma tenellum","Comastoma","Gentianaceae",NA,NA,NA,"insertion based on family"
"Conium maculatum","Conium","Apiaceae",NA,NA,NA,"present in megatree"
"Convolvulus arvensis","Convolvulus","Convolvulaceae",NA,NA,NA,"present in megatree"
"Convolvulus holosericeus","Convolvulus","Convolvulaceae",NA,NA,NA,"insertion based on genus"
"Corallorhiza trifida","Corallorhiza","Orchidaceae",NA,NA,NA,"present in megatree"
"Coriaria myrtifolia","Coriaria","Coriariaceae",NA,NA,NA,"present in megatree"
"Coris monspeliensis","Coris","Primulaceae",NA,NA,NA,"present in megatree"
"Cornus sanguinea","Cornus","Cornaceae",NA,NA,NA,"present in megatree"
"Coronilla coronata","Coronilla","Fabaceae",NA,NA,NA,"present in megatree"
"Coronilla cretica","Coronilla","Fabaceae",NA,NA,NA,"insertion based on genus"
"Coronilla minima","Coronilla","Fabaceae",NA,NA,NA,"present in megatree"
"Coronilla repanda","Coronilla","Fabaceae",NA,NA,NA,"insertion based on genus"
"Coronilla rostrata","Coronilla","Fabaceae",NA,NA,NA,"insertion based on genus"
"Coronilla scorpioides","Coronilla","Fabaceae",NA,NA,NA,"present in megatree"
"Coronilla securidaca","Coronilla","Fabaceae",NA,NA,NA,"insertion based on genus"
"Coronilla valentina","Coronilla","Fabaceae",NA,NA,NA,"present in megatree"
"Coronilla varia","Coronilla","Fabaceae",NA,NA,NA,"insertion based on genus"
"Corrigiola litoralis","Corrigiola","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Corylus avellana","Corylus","Corylaceae",NA,NA,"Betulaceae","present in megatree"
"Corynephorus canescens","Corynephorus","Poaceae",NA,NA,NA,"present in megatree"
"Corynephorus divaricatus","Corynephorus","Poaceae",NA,NA,NA,"insertion based on genus"
"Cota tinctoria","Cota","Asteraceae",NA,NA,NA,"insertion based on family"
"Cota triumfetti","Cota","Asteraceae",NA,NA,NA,"insertion based on family"
"Crambe maritima","Crambe","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Crassula tillaea","Crassula","Crassulaceae",NA,NA,NA,"present in megatree"
"Crataegus monogyna","Crataegus","Rosaceae",NA,NA,NA,"present in megatree"
"Crepis aurea","Crepis","Asteraceae",NA,NA,NA,"present in megatree"
"Crepis biennis","Crepis","Asteraceae",NA,NA,NA,"insertion based on genus"
"Crepis capillaris","Crepis","Asteraceae",NA,NA,NA,"present in megatree"
"Crepis dioscoridis","Crepis","Asteraceae",NA,NA,NA,"present in megatree"
"Crepis foetida","Crepis","Asteraceae",NA,NA,NA,"present in megatree"
"Crepis mollis","Crepis","Asteraceae",NA,NA,NA,"present in megatree"
"Crepis neglecta","Crepis","Asteraceae",NA,NA,NA,"present in megatree"
"Crepis paludosa","Crepis","Asteraceae",NA,NA,NA,"present in megatree"
"Crepis pannonica","Crepis","Asteraceae",NA,NA,NA,"insertion based on genus"
"Crepis pyrenaica","Crepis","Asteraceae",NA,NA,NA,"present in megatree"
"Crepis sibirica","Crepis","Asteraceae",NA,NA,NA,"present in megatree"
"Crepis sibthorpiana","Crepis","Asteraceae",NA,NA,NA,"present in megatree"
"Crepis tybakiensis","Crepis","Asteraceae",NA,NA,NA,"present in megatree"
"Crepis vesicaria","Crepis","Asteraceae",NA,NA,NA,"present in megatree"
"Crithmum maritimum","Crithmum","Apiaceae",NA,NA,NA,"present in megatree"
"Crocodilium pumilio","Crocodilium","Asteraceae",NA,NA,NA,"insertion based on family"
"Crucianella angustifolia","Crucianella","Rubiaceae",NA,NA,NA,"present in megatree"
"Crucianella latifolia","Crucianella","Rubiaceae",NA,NA,NA,"insertion based on genus"
"Crucianella maritima","Crucianella","Rubiaceae",NA,NA,NA,"insertion based on genus"
"Cruciata laevipes","Cruciata","Rubiaceae",NA,NA,NA,"present in megatree"
"Cuscuta campestris","Cuscuta","Convolvulaceae",NA,NA,NA,"insertion based on genus"
"Cuscuta europaea","Cuscuta","Convolvulaceae",NA,NA,NA,"present in megatree"
"Cyclamen coum","Cyclamen","Primulaceae",NA,NA,NA,"present in megatree"
"Cyclamen creticum","Cyclamen","Primulaceae",NA,NA,NA,"present in megatree"
"Cymbalaria muralis","Cymbalaria","Plantaginaceae",NA,NA,NA,"present in megatree"
"Cynanchum acutum","Cynanchum","Apocynaceae",NA,NA,NA,"present in megatree"
"Cynodon dactylon","Cynodon","Poaceae",NA,NA,NA,"present in megatree"
"Cynoglossum germanicum","Cynoglossum","Boraginaceae",NA,NA,NA,"present in megatree"
"Cynoglossum officinale","Cynoglossum","Boraginaceae",NA,NA,NA,"present in megatree"
"Cynosurus cristatus","Cynosurus","Poaceae",NA,NA,NA,"present in megatree"
"Cynosurus echinatus","Cynosurus","Poaceae",NA,NA,NA,"present in megatree"
"Cynosurus effusus","Cynosurus","Poaceae",NA,NA,NA,"insertion based on genus"
"Cyperus capitatus","Cyperus","Cyperaceae",NA,NA,NA,"present in megatree"
"Cyperus fuscus","Cyperus","Cyperaceae",NA,NA,NA,"present in megatree"
"Cyperus glomeratus","Cyperus","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Cyperus michelianus","Cyperus","Cyperaceae",NA,NA,NA,"present in megatree"
"Cytisus nigricans","Cytisus","Fabaceae",NA,NA,NA,"present in megatree"
"Cytisus scoparius","Cytisus","Fabaceae",NA,NA,NA,"present in megatree"
"Cytisus striatus","Cytisus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Cytisus villosus","Cytisus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Daboecia cantabrica","Daboecia","Ericaceae",NA,NA,NA,"present in megatree"
"Dactylis glomerata","Dactylis","Poaceae",NA,NA,NA,"present in megatree"
"Dactylorhiza maculata","Dactylorhiza","Orchidaceae",NA,NA,NA,"present in megatree"
"Damasonium alisma","Damasonium","Alismataceae",NA,NA,NA,"present in megatree"
"Danthonia decumbens","Danthonia","Poaceae",NA,NA,NA,"present in megatree"
"Dasiphora fruticosa","Dasiphora","Rosaceae",NA,NA,NA,"present in megatree"
"Dasypyrum villosum","Dasypyrum","Poaceae",NA,NA,NA,"present in megatree"
"Daucus carota","Daucus","Apiaceae",NA,NA,NA,"present in megatree"
"Delphinium ajacis","Delphinium","Ranunculaceae",NA,NA,NA,"present in megatree"
"Delphinium consolida","Delphinium","Ranunculaceae",NA,NA,NA,"present in megatree"
"Deschampsia cespitosa","Deschampsia","Poaceae",NA,NA,NA,"present in megatree"
"Descurainia sophia","Descurainia","Brassicaceae",NA,NA,NA,"present in megatree"
"Dianthus arenarius","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus armeria","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus barbatus","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus candicus","Dianthus","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Dianthus carthusianorum","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus corymbosus","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus deltoides","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus furcatus","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus giganteus","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus glacialis","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus gracilis","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus gratianopolitanus","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus haematocalyx","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus hyssopifolius","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus monspessulanus","Dianthus","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Dianthus nudiflorus","Dianthus","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Dianthus pinifolius","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus plumarius","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus rupicola","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus seguieri","Dianthus","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Dianthus superbus","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dianthus sylvestris","Dianthus","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dichodon cerastoides","Dichodon","Caryophyllaceae",NA,NA,NA,"insertion based on family"
"Dictamnus albus","Dictamnus","Rutaceae",NA,NA,NA,"present in megatree"
"Digitalis ferruginea","Digitalis","Plantaginaceae",NA,NA,NA,"insertion based on genus"
"Digitalis grandiflora","Digitalis","Plantaginaceae",NA,NA,NA,"present in megatree"
"Digitalis laevigata","Digitalis","Plantaginaceae",NA,NA,NA,"present in megatree"
"Digitalis lanata","Digitalis","Plantaginaceae",NA,NA,NA,"present in megatree"
"Digitalis lutea","Digitalis","Plantaginaceae",NA,NA,NA,"present in megatree"
"Digitalis obscura","Digitalis","Plantaginaceae",NA,NA,NA,"present in megatree"
"Digitalis purpurea","Digitalis","Plantaginaceae",NA,NA,NA,"present in megatree"
"Digitalis viridiflora","Digitalis","Plantaginaceae",NA,NA,NA,"present in megatree"
"Digitaria sanguinalis","Digitaria","Poaceae",NA,NA,NA,"present in megatree"
"Dioscorea communis","Dioscorea","Dioscoreaceae",NA,NA,NA,"present in megatree"
"Diplotaxis tenuifolia","Diplotaxis","Brassicaceae",NA,NA,NA,"present in megatree"
"Dipsacus fullonum","Dipsacus","Dipsacaceae",NA,NA,"Caprifoliaceae","insertion based on genus"
"Dipsacus laciniatus","Dipsacus","Dipsacaceae",NA,NA,"Caprifoliaceae","present in megatree"
"Dipsacus pilosus","Dipsacus","Dipsacaceae",NA,NA,"Caprifoliaceae","present in megatree"
"Dittrichia viscosa","Dittrichia","Asteraceae",NA,NA,NA,"present in megatree"
"Doronicum austriacum","Doronicum","Asteraceae",NA,NA,NA,"present in megatree"
"Draba aizoides","Draba","Brassicaceae",NA,NA,NA,"present in megatree"
"Draba cretica","Draba","Brassicaceae",NA,NA,NA,"present in megatree"
"Draba hoppeana","Draba","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Draba incana","Draba","Brassicaceae",NA,NA,NA,"present in megatree"
"Draba muralis","Draba","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Draba verna","Draba","Brassicaceae",NA,NA,NA,"present in megatree"
"Drimia maritima","Drimia","Asparagaceae",NA,NA,NA,"insertion based on genus"
"Drosera rotundifolia","Drosera","Droseraceae",NA,NA,NA,"present in megatree"
"Dryas octopetala","Dryas","Rosaceae",NA,NA,NA,"present in megatree"
"Drymocallis rupestris","Drymocallis","Rosaceae",NA,NA,NA,"present in megatree"
"Drypis spinosa","Drypis","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Dysphania ambrosioides","Dysphania","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Dysphania botrys","Dysphania","Chenopodiaceae",NA,NA,"Amaranthaceae","insertion based on genus"
"Ebenus cretica","Ebenus","Fabaceae",NA,NA,NA,"present in megatree"
"Echinochloa crus-galli","Echinochloa","Poaceae",NA,NA,NA,"present in megatree"
"Echinophora spinosa","Echinophora","Apiaceae",NA,NA,NA,"insertion based on genus"
"Echinops ritro","Echinops","Asteraceae",NA,NA,NA,"present in megatree"
"Echinops sphaerocephalus","Echinops","Asteraceae",NA,NA,NA,"present in megatree"
"Echium plantagineum","Echium","Boraginaceae",NA,NA,NA,"present in megatree"
"Echium vulgare","Echium","Boraginaceae",NA,NA,NA,"present in megatree"
"Elatine hexandra","Elatine","Elatinaceae",NA,NA,NA,"present in megatree"
"Elatine hydropiper","Elatine","Elatinaceae",NA,NA,NA,"present in megatree"
"Eleocharis acicularis","Eleocharis","Cyperaceae",NA,NA,NA,"present in megatree"
"Eleocharis mamillata","Eleocharis","Cyperaceae",NA,NA,NA,"insertion based on genus"
"Eleocharis multicaulis","Eleocharis","Cyperaceae",NA,NA,NA,"present in megatree"
"Eleocharis ovata","Eleocharis","Cyperaceae",NA,NA,NA,"present in megatree"
"Eleocharis palustris","Eleocharis","Cyperaceae",NA,NA,NA,"present in megatree"
"Eleocharis quinqueflora","Eleocharis","Cyperaceae",NA,NA,NA,"present in megatree"
"Elymus athericus","Elymus","Poaceae",NA,NA,NA,"present in megatree"
"Elymus caninus","Elymus","Poaceae",NA,NA,NA,"present in megatree"
"Elymus panormitanus","Elymus","Poaceae",NA,NA,NA,"present in megatree"
"Elymus pungens","Elymus","Poaceae",NA,NA,NA,"insertion based on genus"
"Elymus repens","Elymus","Poaceae",NA,NA,NA,"present in megatree"
"Empetrum nigrum","Empetrum","Ericaceae",NA,NA,NA,"present in megatree"
"Epilobium alpestre","Epilobium","Onagraceae",NA,NA,NA,"present in megatree"
"Epilobium alsinifolium","Epilobium","Onagraceae",NA,NA,NA,"insertion based on genus"
"Epilobium angustifolium","Epilobium","Onagraceae",NA,NA,NA,"insertion based on genus"
"Epilobium collinum","Epilobium","Onagraceae",NA,NA,NA,"insertion based on genus"
"Epilobium dodonaei","Epilobium","Onagraceae",NA,NA,NA,"insertion based on genus"
"Epilobium hirsutum","Epilobium","Onagraceae",NA,NA,NA,"present in megatree"
"Epilobium lanceolatum","Epilobium","Onagraceae",NA,NA,NA,"present in megatree"
"Epilobium montanum","Epilobium","Onagraceae",NA,NA,NA,"present in megatree"
"Epilobium obscurum","Epilobium","Onagraceae",NA,NA,NA,"present in megatree"
"Epilobium palustre","Epilobium","Onagraceae",NA,NA,NA,"present in megatree"
"Epilobium parviflorum","Epilobium","Onagraceae",NA,NA,NA,"present in megatree"
"Epilobium roseum","Epilobium","Onagraceae",NA,NA,NA,"present in megatree"
"Epilobium tetragonum","Epilobium","Onagraceae",NA,NA,NA,"present in megatree"
"Epipactis atrorubens","Epipactis","Orchidaceae",NA,NA,NA,"present in megatree"
"Epipactis helleborine","Epipactis","Orchidaceae",NA,NA,NA,"present in megatree"
"Epipactis leptochila","Epipactis","Orchidaceae",NA,NA,NA,"present in megatree"
"Epipactis palustris","Epipactis","Orchidaceae",NA,NA,NA,"present in megatree"
"Eremogone lychnidea","Eremogone","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Erica arborea","Erica","Ericaceae",NA,NA,NA,"present in megatree"
"Erica ciliaris","Erica","Ericaceae",NA,NA,NA,"present in megatree"
"Erica cinerea","Erica","Ericaceae",NA,NA,NA,"present in megatree"
"Erica multiflora","Erica","Ericaceae",NA,NA,NA,"present in megatree"
"Erica spiculifolia","Erica","Ericaceae",NA,NA,NA,"present in megatree"
"Erica tetralix","Erica","Ericaceae",NA,NA,NA,"present in megatree"
"Erica vagans","Erica","Ericaceae",NA,NA,NA,"present in megatree"
"Eriophorum angustifolium","Eriophorum","Cyperaceae",NA,NA,NA,"present in megatree"
"Eriophorum gracile","Eriophorum","Cyperaceae",NA,NA,NA,"present in megatree"
"Eriophorum latifolium","Eriophorum","Cyperaceae",NA,NA,NA,"present in megatree"
"Erodium cicutarium","Erodium","Geraniaceae",NA,NA,NA,"present in megatree"
"Erodium maritimum","Erodium","Geraniaceae",NA,NA,NA,"present in megatree"
"Erodium moschatum","Erodium","Geraniaceae",NA,NA,NA,"present in megatree"
"Erophaca baetica","Erophaca","Fabaceae",NA,NA,NA,"present in megatree"
"Eryngium campestre","Eryngium","Apiaceae",NA,NA,NA,"present in megatree"
"Eryngium maritimum","Eryngium","Apiaceae",NA,NA,NA,"present in megatree"
