genus,species,Temperature,Moisture,Frequency,Severity,Group,mass,NOTE
Carex,Carex rariflora,1.402248646,7.093172484,1.45653,0.15113,High stress - Low disturbance,1.169466667, 
Carex,Carex maritima,0.770078398,6.640533794,1.88158,0.2578,High stress - High disturbance,1.129066667, 
Carex,Carex microglochin,1.681110306,7.013041066,1.92386,0.19521,High stress - High disturbance,0.73164, 
Carex,Carex saxatilis,0.55745764,6.709426909,1.67468,0.17727,High stress - High disturbance,0.846173913, 
Carex,Carex sempervirens,2.048942613,3.657108253,1.47476,0.30869,High stress - Low disturbance,1.022, 
Carex,Carex arenaria,4.263479163,3.194787671,1.65328,0.37606,Low stress - Low disturbance,0.88624, 
Carex,Carex spicata,4.050863205,4.295802866,1.73712,0.42807,Low stress - High disturbance,2.307281818, 
Carex,Carex bicolor,1.463326839,6.359978117,1.80949,0.19958,High stress - High disturbance,0.569, 
Carex,Carex sylvatica,4.088652899,4.915349493,1.33807,0.17303,Low stress - Low disturbance,1.440955556, 
Carex,Carex strigosa,4.275771166,5.894907789,1.46924,0.28724,Low stress - Low disturbance,0.559885714, 
Carex,Carex elata,4.161674865,7.76729829,1.44487,0.24366,High stress - Low disturbance,0.73953, 
Carex,Carex remota,4.21699357,6.336442039,1.40771,0.27827,High stress - Low disturbance,0.464742857, 
Carex,Carex divulsa,5.098517912,4.138023529,1.41985,0.26298,Low stress - Low disturbance,1.84365, 
Carex,Carex rostrata,3.340535375,7.71488248,1.43087,0.20946,High stress - Low disturbance,1.083705263, 
Carex,Carex simpliciuscula,0.804067883,6.299306806,1.7595,0.20881,High stress - High disturbance,0.493714286, 
Carlina,Carlina vulgaris,4.338260761,3.355346031,1.7296,0.43197,Low stress - High disturbance,1.420282143, 
Carpesium,Carpesium cernuum,5.145992201,5.174092282,1.28464,0.11538,Low stress - Low disturbance,0.602, 
Carpinus,Carpinus betulus,4.693994038,4.574588929,1.32501,0.13806,Low stress - Low disturbance,47.44596604, 
Carthamus,Carthamus lanatus,6.356419878,2.699528878,1.86391,0.69074,High stress - High disturbance,10.6099305, 
Castanea,Castanea sativa,5.85716325,4.422400419,1.30738,0.12232,Low stress - Low disturbance,5454.097109, 
Catananche,Catananche caerulea,5.918557925,3.753994181,1.55473,0.28498,Low stress - Low disturbance,3.3852, 
Centaurea,Centaurea nervosa,1.96385738,3.958815627,1.36848,0.3381,High stress - Low disturbance,3.4184, 
Centaurea,Centaurea nigra,3.675818467,4.247562435,2.00699,0.47654,Low stress - High disturbance,2.38996, 
Centaurea,Centaurea solstitialis,5.727300199,3.064841029,1.93969,0.73507,Low stress - High disturbance,2.660977778, 
Centaurea,Centaurea spinosa,7.978387022,2.843595323,1.66883,0.31139,High stress - Low disturbance,5.142056821,genus imputed
Centaurea,Centaurea jacea,3.823104516,4.435640372,1.98017,0.48199,Low stress - High disturbance,1.523176471, 
Centaurea,Centaurea cyanus,4.897830106,3.849921029,2.11778,0.88626,Low stress - High disturbance,3.967977778, 
Centaurea,Centaurea calcitrapa,6.004104552,3.330860815,1.80114,0.74662,High stress - High disturbance,2.30128, 
Centaurea,Centaurea raphanina,7.200873582,2.022657226,1.57018,0.30561,High stress - Low disturbance,5.142056821,genus imputed
Centaurea,Centaurea scabiosa,4.245013072,3.06647856,1.77843,0.46675,Low stress - High disturbance,7.009181818, 
Centaurea,Centaurea nemoralis,4.214717308,3.827319509,1.79888,0.45591,Low stress - High disturbance,1.6904, 
Centaurium,Centaurium erythraea,4.58474053,4.642311764,1.72223,0.42706,Low stress - High disturbance,0.013526316, 
Centaurium,Centaurium tenuiflorum,6.065357829,6.028419867,1.58152,0.51589,High stress - High disturbance,0.021666667, 
Cephalanthera,Cephalanthera longifolia,4.41672233,3.856435622,1.30475,0.11756,Low stress - Low disturbance,0.002, 
Cephalanthera,Cephalanthera damasonium,4.461842235,3.802344453,1.29716,0.10968,Low stress - Low disturbance,0.017266667, 
Cerastium,Cerastium alpinum,0.679837072,3.977989602,1.52563,0.34541,High stress - Low disturbance,0.2796, 
Cerastium,Cerastium semidecandrum,5.109709629,2.942500435,1.83687,0.43915,High stress - High disturbance,0.038014615, 
Cerastium,Cerastium fontanum,3.168750403,4.578872914,1.8006,0.49429,Low stress - High disturbance,0.129389286, 
Cerastium,Cerastium arvense,4.025848377,3.330467827,1.78546,0.41736,Low stress - High disturbance,0.2131, 
Cerastium,Cerastium brachypetalum,5.294758585,2.925027966,1.84215,0.48243,High stress - High disturbance,0.060048, 
Cerastium,Cerastium diffusum,4.530319115,3.349723877,2.13758,0.48123,Low stress - High disturbance,0.06736, 
Cerastium,Cerastium glomeratum,4.364555632,4.284295454,1.99939,0.63295,Low stress - High disturbance,0.104556071, 
Cerastium,Cerastium pumilum,5.292523511,2.358742912,1.98904,0.50456,High stress - High disturbance,0.078044444, 
Ceratocarpus,Ceratocarpus arenarius,4.955187961,1.970193081,2.08368,0.46414,High stress - High disturbance,4.660666667, 
Chaenorhinum,Chaenorhinum minus,4.381148119,3.699657528,1.76729,0.74236,Low stress - High disturbance,0.070804, 
Chaerophyllum,Chaerophyllum nodosum,5.954363169,3.479421053,1.3859,0.22929,Low stress - Low disturbance,11.41516667, 
Chaerophyllum,Chaerophyllum aureum,3.939156221,4.530229396,1.41632,0.40955,Low stress - Low disturbance,7.14, 
Chaerophyllum,Chaerophyllum hirsutum,2.966454958,6.520120046,1.32511,0.35091,High stress - Low disturbance,3.19156, 
Chamaemelum,Chamaemelum nobile,5.097696108,4.559425035,2.28622,0.49125,Low stress - High disturbance,0.105417778, 
Chelidonium,Chelidonium majus,4.443196521,4.399841873,1.37302,0.37984,Low stress - Low disturbance,0.7381, 
Chenopodium,Chenopodium vulvaria,5.454141808,3.58679388,2.0009,0.84057,Low stress - High disturbance,0.430782609, 
Chenopodium,Chenopodium ficifolium,5.377115536,5.031259109,1.9321,0.81121,Low stress - High disturbance,0.359730769, 
Chenopodium,Chenopodium album,4.549413406,3.654361738,1.93909,0.81076,Low stress - High disturbance,0.56554359, 
Cherleria,Cherleria laricifolia,2.485881046,3.160635845,1.7118,0.30489,High stress - High disturbance,0.3692, 
Chrysopogon,Chrysopogon gryllus,5.971421772,2.79445348,1.83152,0.46652,High stress - High disturbance,2.3, 
Cichorium,Cichorium spinosum,7.313702728,2.104420643,0.82488,0.34397,High stress - Low disturbance,26.33067052,genus imputed
Cichorium,Cichorium intybus,4.72676673,3.708203974,1.86308,0.63877,Low stress - High disturbance,1.339833782, 
Cicuta,Cicuta virosa,4.006541522,7.584579194,1.51814,0.218,High stress - Low disturbance,1.1564, 
Cionura,Cionura erecta,7.978387022,4.485471516,1.8115,0.35652,High stress - High disturbance,14.13, 
Circaea,Circaea lutetiana,4.246360808,5.369529635,1.36742,0.21964,Low stress - Low disturbance,2.22548, 
Cirsium,Cirsium oleraceum,3.854090171,6.110358625,1.49783,0.4342,High stress - High disturbance,2.4752, 
Cirsium,Cirsium vulgare,4.22975729,4.214238152,1.73868,0.51951,Low stress - High disturbance,2.599508333, 
Cirsium,Cirsium arvense,4.117642794,4.267631765,1.77442,0.60267,Low stress - High disturbance,1.303053846, 
Cistus,Cistus parviflorus,7.642227497,1.486993661,1.64975,0.17467,High stress - Low disturbance,0.8, 
Cistus,Cistus salviifolius,6.776947155,2.041796874,1.37053,0.22019,High stress - Low disturbance,0.947142857, 
Cistus,Cistus clusii,7.306067971,1.772268193,1.60672,0.24051,High stress - Low disturbance,17.88124444, 
Cistus,Cistus ladanifer,5.721432922,2.590216484,1.41223,0.16903,High stress - Low disturbance,0.263214286, 
Clematis,Clematis vitalba,4.790825267,4.405960335,1.32576,0.19896,Low stress - Low disturbance,2.543589982, 
Clematis,Clematis recta,5.19903974,3.239164573,1.39655,0.23101,Low stress - Low disturbance,9.637975, 
Clinopodium,Clinopodium menthifolium,4.955948169,3.773351912,1.32903,0.16215,Low stress - Low disturbance,0.385305263, 
Clinopodium,Clinopodium acinos,4.655507605,2.239870029,1.76103,0.44662,High stress - High disturbance,0.522771429, 
Clinopodium,Clinopodium nepeta,5.467789365,3.072720178,1.49824,0.48852,Low stress - High disturbance,0.259975, 
Clinopodium,Clinopodium vulgare,4.209891723,3.655516625,1.41529,0.24005,Low stress - Low disturbance,0.381415, 
Cochlearia,Cochlearia danica,4.14012347,5.410069182,1.65685,0.48731,Low stress - High disturbance,0.227318182, 
Cochlearia,Cochlearia anglica,3.677645939,6.73198021,2.27859,0.50364,High stress - High disturbance,1.186633333, 
Cochlearia,Cochlearia officinalis,4.507404235,5.799843785,1.79118,0.48667,Low stress - High disturbance,0.493129167, 
Cochlearia,Cochlearia pyrenaica,2.480439034,7.152061849,1.31265,0.35,High stress - Low disturbance,0.7352, 
Coincya,Coincya monensis,5.39680459,3.268118014,1.52093,0.44503,Low stress - High disturbance,1.026828571, 
Colutea,Colutea arborescens,5.860805579,3.058297541,1.28059,0.15609,Low stress - Low disturbance,15.96057808, 
Comarum,Comarum palustre,3.111483215,7.529677334,1.42824,0.22142,High stress - Low disturbance,0.438871795, 
Conium,Conium maculatum,4.759600688,4.662639398,1.59298,0.6326,Low stress - High disturbance,2.631010526, 
Convolvulus,Convolvulus arvensis,4.918295447,3.593886098,1.88846,0.67894,Low stress - High disturbance,11.52765455, 
Corallorhiza,Corallorhiza trifida,3.028363033,4.825403352,1.22425,0.10759,Low stress - Low disturbance,0.0029,genus imputed
Coriaria,Coriaria myrtifolia,5.652709376,3.692688935,1.34649,0.13533,Low stress - Low disturbance,65.35648, 
Coris,Coris monspeliensis,6.383396167,2.503291279,1.61975,0.2726,High stress - Low disturbance,0.748, 
Cornus,Cornus sanguinea,4.260641289,4.454153283,1.33503,0.18576,Low stress - Low disturbance,66.50413043, 
Coronilla,Coronilla minima,5.24179272,2.192574286,1.62159,0.35303,High stress - Low disturbance,3.013846672, 
Coronilla,Coronilla valentina,8.281033693,1.897462709,1.33178,0.30591,High stress - Low disturbance,7.0009, 
Coronilla,Coronilla coronata,4.684006815,2.988017984,1.44299,0.23271,High stress - Low disturbance,9.753, 
Coronilla,Coronilla scorpioides,6.436630634,1.968452107,1.77756,0.5868,High stress - High disturbance,2.240133333, 
Corrigiola,Corrigiola litoralis,5.163773511,5.552521644,1.84923,0.78306,Low stress - High disturbance,0.329766667, 
Corylus,Corylus avellana,4.299055243,4.444083622,1.33709,0.15578,Low stress - Low disturbance,1042.263836, 
Corynephorus,Corynephorus canescens,4.846655799,2.486177103,1.9401,0.36556,High stress - High disturbance,0.108857143, 
Crassula,Crassula tillaea,5.711706484,5.075517114,2.0595,0.53937,Low stress - High disturbance,0.01020307, 
Crataegus,Crataegus monogyna,4.71398091,4.040573723,1.33583,0.18308,Low stress - Low disturbance,87.05371278, 
Crepis,Crepis capillaris,4.485134728,3.917666992,2.07309,0.51569,Low stress - High disturbance,0.225552619, 
Crepis,Crepis dioscoridis,7.642227497,2.307931758,1.37004,0.30769,High stress - Low disturbance,2.147744092,genus imputed
Crepis,Crepis foetida,5.818723702,3.078616814,1.83816,0.62291,Low stress - High disturbance,0.444683333, 
Crepis,Crepis neglecta,5.617398757,2.111554259,1.85944,0.57786,High stress - High disturbance,2.147744092,genus imputed
Crepis,Crepis paludosa,3.03280655,6.386727067,1.5094,0.36996,High stress - Low disturbance,0.566971429, 
Crepis,Crepis vesicaria,5.781900791,3.612583181,1.80405,0.54648,Low stress - High disturbance,0.389066667, 
Crepis,Crepis mollis,3.031297346,4.651187666,1.96318,0.4894,Low stress - High disturbance,0.72581, 
Crepis,Crepis sibthorpiana,4.86833326,3.66453342,1.77815,0.36061,Low stress - High disturbance,2.147744092,genus imputed
Crepis,Crepis sibirica,3.197153088,4.250660017,1.38516,0.23182,Low stress - Low disturbance,2.147744092,genus imputed
Crepis,Crepis pyrenaica,1.972422105,4.767501661,1.45953,0.3066,High stress - Low disturbance,3.26804, 
Crepis,Crepis aurea,1.566349928,4.42047203,1.42977,0.34975,High stress - Low disturbance,2.147744092,genus imputed
Crepis,Crepis tybakiensis,6.423360141,2.843595323,1.68914,0.62977,High stress - High disturbance,2.147744092,genus imputed
Crithmum,Crithmum maritimum,6.932345228,3.446080737,0.80101,0.31041,High stress - Low disturbance,3.156654545, 
Crucianella,Crucianella angustifolia,6.458473784,2.18687675,1.73127,0.45743,High stress - High disturbance,0.469987, 
Cruciata,Cruciata laevipes,4.202822366,4.641650602,1.52237,0.38054,Low stress - Low disturbance,3.285257143, 
Cuscuta,Cuscuta europaea,4.551899005,5.734289918,1.29235,0.49109,Low stress - High disturbance,0.472483333, 
Cyclamen,Cyclamen coum,5.951395342,4.597740436,1.30103,0.1,Low stress - Low disturbance,4.32152, 
Cyclamen,Cyclamen creticum,6.423360141,2.843595323,1.38589,0.22355,High stress - Low disturbance,7.271048095,genus imputed
Cymbalaria,Cymbalaria muralis,5.495165036,4.570798512,1.05451,0.33976,Low stress - Low disturbance,0.166, 
Cynanchum,Cynanchum acutum,6.495322574,4.466149833,1.69387,0.51941,High stress - High disturbance,4.90375, 
Cynodon,Cynodon dactylon,5.810740955,3.302263086,1.83257,0.63584,Low stress - High disturbance,0.208121512, 
Cynoglossum,Cynoglossum officinale,4.184337782,3.201767467,1.39979,0.41416,Low stress - High disturbance,26.882375, 
Cynoglossum,Cynoglossum germanicum,4.429181156,4.42886923,1.33993,0.26269,Low stress - Low disturbance,19.024925, 
Cynosurus,Cynosurus cristatus,3.855454602,4.461145359,2.2368,0.49749,Low stress - High disturbance,0.520136842, 
Cynosurus,Cynosurus echinatus,6.25776879,2.639607086,1.66338,0.44292,High stress - High disturbance,1.5556, 
Cyperus,Cyperus michelianus,5.260699413,6.587650005,1.95374,0.78015,High stress - High disturbance,0.0384, 
Cyperus,Cyperus capitatus,7.778432015,2.914086973,1.95481,0.41723,High stress - High disturbance,2.0794, 
Cyperus,Cyperus fuscus,4.752909346,7.080112622,1.79316,0.6576,High stress - High disturbance,0.054442105, 
Cytisus,Cytisus nigricans,4.790625564,3.52852657,1.40639,0.22271,Low stress - Low disturbance,5.198125, 
Cytisus,Cytisus scoparius,4.344539162,3.792559012,1.38287,0.22918,Low stress - Low disturbance,8.932947105, 
Daboecia,Daboecia cantabrica,5.018698983,4.07873461,1.36433,0.25,Low stress - Low disturbance,0.116933333, 
Dactylis,Dactylis glomerata,4.453172009,4.266955189,1.63031,0.4288,Low stress - High disturbance,0.85594252, 
Dactylorhiza,Dactylorhiza maculata,3.45273573,6.092049328,1.4348,0.260435,High stress - Low disturbance,0.00412, 
Damasonium,Damasonium alisma,5.698708177,7.677368665,1.94959,0.51111,High stress - High disturbance,1.880714286, 
Danthonia,Danthonia decumbens,4.013624498,4.472336313,1.84537,0.40811,Low stress - High disturbance,1.439375, 
Dasiphora,Dasiphora fruticosa,3.536642423,5.349459075,1.38042,0.25,Low stress - Low disturbance,0.2365, 
Dasypyrum,Dasypyrum villosum,6.109174652,2.707553256,1.94653,0.72124,High stress - High disturbance,6.992727273, 
Daucus,Daucus carota,4.737127018,3.6382576,1.72102,0.53032,Low stress - High disturbance,1.028713618, 
Delphinium,Delphinium ajacis,6.026920444,3.330347175,2.0015,0.80345,High stress - High disturbance,2.32452, 
Delphinium,Delphinium consolida,5.297291115,3.516479386,1.99616,0.80939,Low stress - High disturbance,1.264830769, 
Deschampsia,Deschampsia cespitosa,3.639460907,5.892609489,1.54925,0.37129,Low stress - Low disturbance,0.256593066, 
Descurainia,Descurainia sophia,4.723283114,3.409571449,2.016,0.78962,Low stress - High disturbance,0.10665, 
Dianthus,Dianthus barbatus,3.727675379,4.175161025,1.48785,0.27551,Low stress - Low disturbance,0.981911111, 
Dianthus,Dianthus carthusianorum,4.226627005,3.207076889,1.84633,0.43751,Low stress - High disturbance,1.026666667, 
Dianthus,Dianthus deltoides,3.89448099,3.292920623,2.09777,0.45921,Low stress - High disturbance,0.1968, 
Dianthus,Dianthus armeria,4.814581133,3.580501874,1.76493,0.42869,Low stress - High disturbance,0.367757895, 
Dianthus,Dianthus pinifolius,5.483703886,2.394954752,1.56417,0.3748,High stress - Low disturbance,0.902090674,genus imputed
Dianthus,Dianthus glacialis,0.559361915,3.900517672,1.5867,0.23684,High stress - Low disturbance,0.286066667, 
Dianthus,Dianthus superbus,3.823737244,5.618106666,1.65134,0.37429,Low stress - Low disturbance,0.673911111, 
Dianthus,Dianthus hyssopifolius,3.603622192,3.022335142,1.69337,0.37725,Low stress - High disturbance,0.98685, 
Dianthus,Dianthus furcatus,1.788364428,3.283943296,1.09259,0.266,High stress - Low disturbance,0.902090674,genus imputed
Dianthus,Dianthus rupicola,8.204045314,1.772268193,1.06765,0.44872,High stress - High disturbance,0.902090674,genus imputed
Dianthus,Dianthus arenarius,4.140684857,2.301606775,1.5271,0.17041,High stress - Low disturbance,0.631, 
Dianthus,Dianthus gratianopolitanus,4.84258436,2.255544242,1.1975,0.32021,High stress - Low disturbance,1.11556, 
Dianthus,Dianthus sylvestris,4.52563846,2.767882421,1.49658,0.33866,High stress - Low disturbance,0.514666667, 
Dianthus,Dianthus giganteus,5.795305467,3.160635845,1.70797,0.40658,Low stress - High disturbance,1.206, 
Digitalis,Digitalis laevigata,4.612135943,4.224742024,1.33343,0.14955,Low stress - Low disturbance,0.249815802,genus imputed
Digitalis,Digitalis purpurea,4.297379466,4.501591811,1.35635,0.25957,Low stress - Low disturbance,0.086264822, 
Digitalis,Digitalis lanata,5.615769578,3.021463282,1.48297,0.29332,Low stress - Low disturbance,0.442857143, 
Digitalis,Digitalis lutea,4.535171389,4.152902713,1.30761,0.14948,Low stress - Low disturbance,0.318466667, 
Digitalis,Digitalis grandiflora,3.709332648,4.257077879,1.31624,0.18728,Low stress - Low disturbance,0.2744, 
Digitaria,Digitaria sanguinalis,5.383719466,3.481042047,2.01016,0.81056,Low stress - High disturbance,0.5108, 
Dioscorea,Dioscorea communis,5.550102421,4.416111663,1.30695,0.14404,Low stress - Low disturbance,17.67827273, 
Diplotaxis,Diplotaxis tenuifolia,5.419376586,3.27747646,1.82887,0.71357,Low stress - High disturbance,0.235230769, 
Dipsacus,Dipsacus pilosus,4.789050123,5.393254025,1.33538,0.37105,Low stress - Low disturbance,5.183222222, 
Dipsacus,Dipsacus laciniatus,5.448329597,5.078796879,1.64958,0.54875,Low stress - High disturbance,3.4885, 
Draba,Draba cretica,4.86833326,2.022657226,1.29496,0.34231,High stress - Low disturbance,0.150382554,genus imputed
Draba,Draba aizoides,2.590384783,3.257684758,1.54809,0.28993,High stress - Low disturbance,0.195836364, 
Draba,Draba verna,4.815534934,3.123911498,1.97627,0.54465,Low stress - High disturbance,0.024932258, 
Draba,Draba incana,1.946691038,3.345738182,1.75549,0.45952,High stress - High disturbance,0.122, 
Drosera,Drosera rotundifolia,3.378487852,7.151159093,1.36489,0.1308,High stress - Low disturbance,0.017153333, 
Dryas,Dryas octopetala,1.4720761,3.977313006,1.07147,0.274,High stress - Low disturbance,0.563, 
Drymocallis,Drymocallis rupestris,4.268003051,3.206980569,1.54087,0.37863,Low stress - Low disturbance,0.302326316, 
Drypis,Drypis spinosa,4.612135943,1.772268193,1.7478,0.62222,High stress - High disturbance,NA,not found
Dysphania,Dysphania ambrosioides,5.482052457,4.24821433,1.8231,0.77722,Low stress - High disturbance,0.407775, 
Ebenus,Ebenus cretica,7.978387022,2.022657226,1.46754,0.46863,High stress - High disturbance,7.956, 
Echinochloa,Echinochloa crus-galli,5.418662427,4.948397688,1.84495,0.78038,Low stress - High disturbance,2.15041, 
Echinops,Echinops sphaerocephalus,4.885586801,3.39537144,1.65082,0.57561,Low stress - High disturbance,9.86972, 
Echinops,Echinops ritro,6.047572033,2.622027231,1.8825,0.42779,High stress - High disturbance,22.21427143, 
Echium,Echium vulgare,4.612728505,3.091027462,1.81436,0.55499,Low stress - High disturbance,2.839907648, 
Echium,Echium plantagineum,6.274222985,2.849407625,1.93336,0.77333,High stress - High disturbance,4.06245, 
Elatine,Elatine hydropiper,4.64826573,7.445082597,1.86186,0.66014,High stress - High disturbance,0.2114, 
Elatine,Elatine hexandra,4.645769708,7.640864957,1.71071,0.55556,High stress - High disturbance,0.020533333, 
Eleocharis,Eleocharis multicaulis,4.920038836,7.920707031,1.36357,0.1409,High stress - Low disturbance,0.2245, 
Eleocharis,Eleocharis palustris,4.018337186,7.598451673,1.82936,0.3692,High stress - High disturbance,1.055755556, 
Eleocharis,Eleocharis acicularis,4.137090575,7.910701651,1.69833,0.471,High stress - High disturbance,0.078375, 
Eleocharis,Eleocharis ovata,4.782625893,6.821677661,1.86418,0.69094,High stress - High disturbance,0.109966667, 
Elymus,Elymus caninus,4.048916308,5.242669088,1.36548,0.32426,Low stress - Low disturbance,3.681442222, 
Elymus,Elymus panormitanus,7.20802488,3.401636363,1.35687,0.15938,High stress - Low disturbance,10.215, 
Elymus,Elymus athericus,5.185818144,4.430095578,1.51532,0.46507,Low stress - High disturbance,5.443333333, 
Elymus,Elymus repens,4.190459545,4.373763459,1.76739,0.60386,Low stress - High disturbance,2.695713256, 
Empetrum,Empetrum nigrum,2.998323669,5.428042249,1.30973,0.20489,High stress - Low disturbance,0.9834, 
Epilobium,Epilobium lanceolatum,5.47604218,4.155894048,1.33947,0.17258,Low stress - Low disturbance,0.098336364, 
Epilobium,Epilobium palustre,3.48752317,7.231472091,1.56688,0.34699,High stress - Low disturbance,0.073864706, 
Epilobium,Epilobium parviflorum,4.318708883,6.957729526,1.65202,0.43049,High stress - High disturbance,0.082721429, 
Epilobium,Epilobium obscurum,4.050747515,6.729004639,1.66125,0.44094,High stress - High disturbance,0.0918, 
Epilobium,Epilobium alpestre,2.195388755,5.392093202,1.13114,0.25128,High stress - Low disturbance,0.205566667, 
Epilobium,Epilobium hirsutum,4.427243854,6.4828013,1.42624,0.41665,High stress - High disturbance,0.115642857, 
Epilobium,Epilobium roseum,4.544037604,6.773331218,1.4473,0.47322,High stress - High disturbance,0.0878, 
Epilobium,Epilobium tetragonum,4.746533798,5.830240508,1.71536,0.53898,Low stress - High disturbance,0.073202105, 
Epilobium,Epilobium montanum,3.877568406,4.5883896,1.28546,0.19349,Low stress - Low disturbance,0.11334, 
Epipactis,Epipactis atrorubens,4.142613345,3.29165935,1.26715,0.20327,Low stress - Low disturbance,0.01, 
Epipactis,Epipactis helleborine,3.952471171,4.358916154,1.303235,0.11377,Low stress - Low disturbance,0.0076, 
Epipactis,Epipactis leptochila,4.798052382,4.010462323,1.30103,0.102,Low stress - Low disturbance,0.005, 
Epipactis,Epipactis palustris,3.992817602,6.782026849,1.77173,0.30715,High stress - High disturbance,0.0045, 
Erica,Erica cinerea,4.787046551,4.213571028,1.46747,0.2716,Low stress - Low disturbance,0.091030769, 
Erica,Erica tetralix,3.921965027,6.594659884,1.41809,0.22054,High stress - Low disturbance,0.015857407, 
Erica,Erica vagans,5.549962318,4.593267866,1.41201,0.2602,Low stress - Low disturbance,0.0492, 
Erica,Erica spiculifolia,3.97829184,3.921460903,1.1232,0.25077,Low stress - Low disturbance,0.020766667, 
Erica,Erica arborea,6.432292914,3.155280309,1.30298,0.20061,High stress - Low disturbance,0.07, 
Erica,Erica ciliaris,4.903725951,6.061562356,1.58371,0.29848,High stress - Low disturbance,0.037426667, 
Erica,Erica multiflora,6.964364772,2.465766891,1.40855,0.23463,High stress - Low disturbance,0.059167047, 
Eriophorum,Eriophorum angustifolium,3.117331807,7.22504885,1.43363,0.19162,High stress - Low disturbance,0.4756875, 
Eriophorum,Eriophorum latifolium,3.796863707,7.266831017,1.82944,0.26418,High stress - High disturbance,0.852317647, 
Eriophorum,Eriophorum gracile,3.450008298,7.546913131,1.43894,0.14,High stress - Low disturbance,0.323, 
Erodium,Erodium cicutarium,4.533165471,3.045022086,1.99767,0.6716,Low stress - High disturbance,1.780472, 
Erodium,Erodium moschatum,6.354796003,3.119065482,2.32557,0.83407,High stress - High disturbance,2.181844444, 
Eryngium,Eryngium campestre,5.537662458,2.643870274,1.85568,0.4861,High stress - High disturbance,1.735982353, 
Eryngium,Eryngium maritimum,5.352729426,3.717646554,2.03676,0.43009,Low stress - High disturbance,17.88679, 
Erysimum,Erysimum cheiranthoides,4.034765892,4.698392378,1.84854,0.80508,Low stress - High disturbance,0.229333333, 
Eupatorium,Eupatorium cannabinum,4.248839677,5.991652117,1.39554,0.35326,Low stress - Low disturbance,0.315658824, 
Euphorbia,Euphorbia paralias,6.141017583,3.351298931,2.07513,0.42067,High stress - High disturbance,5.2757, 
Euphorbia,Euphorbia dendroides,7.757299255,2.641589881,1.44304,0.3207,High stress - Low disturbance,9.617688642,genus imputed
Euphorbia,Euphorbia helioscopia,4.835870513,3.970398736,2.04663,0.84714,Low stress - High disturbance,2.163785714, 
Euphorbia,Euphorbia portlandica,5.292062208,3.020298857,1.63132,0.40575,Low stress - Low disturbance,1.9, 
Euphorbia,Euphorbia terracina,7.778432015,2.900530947,1.7163,0.41212,High stress - High disturbance,3.372, 
Euphorbia,Euphorbia peplis,6.078773553,4.036192117,2.15264,0.56144,High stress - High disturbance,2.4272, 
Euphorbia,Euphorbia amygdaloides,4.289928418,4.521010113,1.30512,0.12857,Low stress - Low disturbance,3.771709091, 
Euphrasia,Euphrasia nemorosa,3.84504615,4.368096835,1.99019,0.47279,Low stress - High disturbance,0.170366667, 
Falcaria,Falcaria vulgaris,5.1533977,2.887865784,1.83344,0.55963,High stress - High disturbance,0.9, 
Fallopia,Fallopia convolvulus,4.57788456,4.00406499,1.79567,0.73541,Low stress - High disturbance,4.889413793, 
Festuca,Festuca fasciculata,8.091216168,2.111189682,1.89492,0.42066,High stress - High disturbance,2.6763, 
Festuca,Festuca bromoides,5.729004208,2.857975865,2.1154,0.44085,High stress - High disturbance,1.023657143, 
Festuca,Festuca indigesta,2.516727159,3.19558485,1.72575,0.31701,High stress - High disturbance,1.059751255,genus imputed
Festuca,Festuca maritima,5.87053644,2.552145137,2.05041,0.70413,High stress - High disturbance,0.317266667, 
Festuca,Festuca hystrix,3.559471152,2.95318479,1.5346,0.36021,High stress - Low disturbance,1.059751255,genus imputed
Festuca,Festuca rothmaleri,3.860981958,4.672796794,2.06035,0.46716,Low stress - High disturbance,0.879, 
Festuca,Festuca rupicola,4.884575438,2.835322451,1.77196,0.392,High stress - High disturbance,0.580857143, 
Festuca,Festuca myuros,5.502754328,2.349147024,2.00402,0.5324,High stress - High disturbance,0.602640262, 
Festuca,Festuca quadriflora,0.869564897,4.038209136,1.46904,0.277,High stress - Low disturbance,1.059751255,genus imputed
Festuca,Festuca violacea,1.44149505,4.792242758,1.678905,0.306875,High stress - High disturbance,1.36536, 
Festuca,Festuca eskia,2.170659815,3.626097601,1.57474,0.32255,High stress - Low disturbance,1.059751255,genus imputed
Festuca,Festuca valesiaca,5.230449479,2.253362025,1.80135,0.45284,High stress - High disturbance,0.4844, 
Festuca,Festuca trachyphylla,4.419183271,2.676664144,1.92126,0.42722,High stress - High disturbance,0.705133333, 
Festuca,Festuca alpina,0.351925489,2.710858353,0.90379,0.23276,High stress - Low disturbance,1.059751255,genus imputed
Festuca,Festuca filiformis,4.397240199,3.515780118,1.66021,0.36103,Low stress - Low disturbance,0.327618182, 
Ficus,Ficus carica,6.692336713,3.320855766,1.41706,0.343,High stress - Low disturbance,56.50147958,genus imputed
Filago,Filago pyramidata,6.357667365,2.383723142,1.9621,0.73376,High stress - High disturbance,0.05034, 
Filipendula,Filipendula vulgaris,4.590523902,3.453014523,1.81919,0.44689,Low stress - High disturbance,0.807325, 
Filipendula,Filipendula ulmaria,3.424984293,6.403992254,1.54467,0.4255,High stress - High disturbance,0.7829375, 
Foeniculum,Foeniculum vulgare,6.420537504,3.452238606,1.61588,0.68749,High stress - High disturbance,3.32059, 
